****** PREMISSAS **********;;;;;;;;;;;;;;;;;;;
cod_premissa;descr;obs;segm_tipo_clb  ;classe;subClasse;formato;decimais;seqApresent;flag_desp_recorr_func ;descr_desp_recorr;obs_desp_recorr ;ano_versao_ini;ano_versao_fim;entidade_segm  ;;;;;
2014;VP0;a;CCP;ti_project;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;CCP;ti_pwsati;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;CCP;ti_sap;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;CCP;ti_viabil;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;CCP;ti_visio;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;CCP;ti_xrt;*;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;CCP;vr;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;CCP;vt_custo_func;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;*;enc_prov_13;5;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;*;enc_prov_ferias;1;s;0;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222
2013;VP0;a;*;enc_prov_ferias;2;s;0;3.555;3.555;3.555;3.555;3.555;3.555;3.555;3.555;3.555;3.555;3.555;3.555
2013;VP0;a;*;enc_prov_ferias;5;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;*;enc_prov_ferias;6;s;0;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222
2013;VP0;a;*;enc_prov_13;1;s;0;31.660.000.000.000.000;31.660.000.000.000.000;31.660.000.000.000.000;31.660.000.000.000.000;31.660.000.000.000.000;31.660.000.000.000.000;31.660.000.000.000.000;31.660.000.000.000.000;31.660.000.000.000.000;31.660.000.000.000.000;31.660.000.000.000.000;31.660.000.000.000.000
2014;VP0;a;SUL_FL;ass_med;2;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_FL;ass_med;3;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_FL;ass_med;4;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_FL;ass_med;5;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_FL;ass_med;6;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_FL;ass_med;7;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_CUR;vr;2;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;SELL_PA_FL;dissidio;*;s;0;0;0;0;0;0;8.5;0;0;0;0;0;0
2014;VP0;a;SELL_PA_FL;mes_merito;*;s;0;0;0;0;0;0;1;0;0;0;0;0;0
2014;VP0;a;SELL_PA_FL;vr;1;s;0;352;352;352;352;352;352;352;352;352;352;352;352
2014;VP0;a;SELL_PA_FL;vr;2;s;0;352;352;352;352;352;352;352;352;352;352;352;352
2014;VP0;a;SELL_PA_FL;vr;3;s;0;352;352;352;352;352;352;352;352;352;352;352;352
2014;VP0;a;SELL_PA_FL;vr;4;s;0;352;352;352;352;352;352;352;352;352;352;352;352
2014;VP0;a;SELL_PA_FL;vr;5;s;0;352;352;352;352;352;352;352;352;352;352;352;352
2014;VP0;a;SELL_PA_FL;vr;6;s;0;352;352;352;352;352;352;352;352;352;352;352;352
2014;VP0;a;SELL_PA_FL;vr;7;s;0;352;352;352;352;352;352;352;352;352;352;352;352
2014;VP0;a;SUL_CUR;ass_med;1;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_CUR;ass_med;2;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_CUR;ass_med;3;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_CUR;ass_med;4;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_CUR;ass_med;5;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_CUR;ass_med;6;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_CUR;ass_med;7;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_FL;ass_med;1;s;0;159;159;159;159;159;159;159;159;159;159;159;159
2014;VP0;a;SUL_FL;vr;2;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;SUL_PA;vr;2;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;VP0;a;*;cel_analista;*;s;0;100;100;100;100;100;100;100;100;100;100;100;100
2015;VP0;a;*;cel_coord;*;s;0;120;120;120;120;120;120;120;120;120;120;120;120
2015;VP0;a;*;cel_dir;*;s;0;270;270;270;270;270;270;270;270;270;270;270;270
2015;VP0;a;*;cel_ger;*;s;0;195;195;195;195;195;195;195;195;195;195;195;195
2015;VP0;a;*;cel_modem3g;*;s;0;35.96;35.96;35.96;35.96;35.96;35.96;35.96;35.96;35.96;35.96;35.96;35.96
2015;VP0;a;*;ti_pwsati;*;s;0;288;288;288;288;288;288;288;288;288;288;288;288
2015;VP0;a;*;ti_viabil;*;s;0;115;115;115;115;115;115;115;115;115;115;115;115
2013;VP0;a;CCP;inss;1;n;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;SUL_CUR;vr;5;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;SUL_CUR;vr;6;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;SUL_CUR;vr;7;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;SUL_FL;vr;5;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;SUL_FL;vr;6;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;SUL_FL;vr;7;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;SUL_PA;vr;5;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;SUL_PA;vr;6;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;VP0;a;SUL_PA;vr;7;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;SELL_CUR;ass_med;1;s;0;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000
2014;VP0;a;SELL_CUR;ass_med;2;s;0;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000
2014;VP0;a;SELL_CUR;ass_med;3;s;0;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000
2014;VP0;a;SELL_CUR;ass_med;4;s;0;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000
2014;VP0;a;SELL_CUR;ass_med;5;s;0;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000
2014;VP0;a;SELL_CUR;ass_med;6;s;0;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000
2014;VP0;a;SELL_CUR;ass_med;7;s;0;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000;14.542.000.000.000.000
2014;VP0;a;SELL_CUR;vr;1;s;0;561;561;561;561;561;561;561;561;561;561;561;561
2014;VP0;a;SELL_CUR;vr;2;s;0;561;561;561;561;561;561;561;561;561;561;561;561
2014;VP0;a;SELL_CUR;vr;3;s;0;561;561;561;561;561;561;561;561;561;561;561;561
2014;VP0;a;SELL_CUR;vr;4;s;0;561;561;561;561;561;561;561;561;561;561;561;561
2014;VP0;a;SELL_CUR;vr;5;s;0;561;561;561;561;561;561;561;561;561;561;561;561
2014;VP0;a;SELL_CUR;vr;6;s;0;561;561;561;561;561;561;561;561;561;561;561;561
2014;VP0;a;SELL_CUR;vr;7;s;0;561;561;561;561;561;561;561;561;561;561;561;561
2014;VP0;a;SUL_PA;vr;4;s;0;405;405;405;405;405;405;405;405;405;405;405;405
2014;VP0;i;*;enc_prov_ferias;2;s;0;3.555;3.555;3.555;3.555;3.555;3.555;3.555;3.555;3.555;3.555;3.555;3.555
2014;VP0;a;SUL_PA;vr;6;s;0;405;405;405;405;405;405;405;405;405;405;405;405
2014;VP0;a;SUL_PA;vr;7;s;0;405;405;405;405;405;405;405;405;405;405;405;405
2014;VP0;a;SUL_CUR;vr;1;s;0;529;529;529;529;529;529;529;529;529;529;529;529
2014;VP0;i;CCP;inss;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;a;SUL_CUR;vr;3;s;0;603;603;603;603;603;603;603;603;603;603;603;603
2014;VP0;a;SUL_CUR;vr;4;s;0;529;529;529;529;529;529;529;529;529;529;529;529
2014;VP0;a;SUL_CUR;vr;6;s;0;529;529;529;529;529;529;529;529;529;529;529;529
2014;VP0;a;SUL_CUR;vr;7;s;0;529;529;529;529;529;529;529;529;529;529;529;529
2014;VP0;i;*;enc_prov_ferias;3;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;enc_prov_ferias;4;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;enc_prov_ferias;5;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;enc_prov_ferias;6;s;0;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222;4.222
2014;VP0;i;*;enc_prov_ferias;7;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;fgts;1;s;0;8;8;8;8;8;8;8;8;8;8;8;8
2014;VP0;i;*;fgts;2;s;0;2;2;2;2;2;2;2;2;2;2;2;2
2014;VP0;i;*;fgts;3;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;fgts;4;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;fgts;5;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;fgts;6;s;0;8;8;8;8;8;8;8;8;8;8;8;8
2014;VP0;i;*;fgts;7;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;inss;1;s;0;30;30;30;30;30;30;30;30;30;30;30;30
2014;VP0;i;*;inss;2;s;0;30;30;30;30;30;30;30;30;30;30;30;30
2014;VP0;i;*;inss;3;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;inss;4;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;inss;5;s;0;20;20;20;20;20;20;20;20;20;20;20;20
2014;VP0;i;*;inss;6;s;0;30;30;30;30;30;30;30;30;30;30;30;30
2014;VP0;i;*;inss;7;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;mes_merito;*;s;0;0;0;0;0;1;0;0;0;0;0;0;0
2014;VP0;i;*;prov_13;1;s;0;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33
2014;VP0;i;*;prov_13;2;s;0;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33
2014;VP0;i;*;prov_13;3;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;prov_13;4;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;prov_13;5;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;prov_13;6;s;0;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33;8.33
2014;VP0;i;*;prov_13;7;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;prov_ferias;1;s;0;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11
2014;VP0;i;*;prov_ferias;2;s;0;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11
2014;VP0;i;*;prov_ferias;3;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;prov_ferias;4;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;prov_ferias;5;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;prov_ferias;6;s;0;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11;11.11
2014;VP0;i;*;prov_ferias;7;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;seg_vida;*;s;0;0.323;0.323;0.323;0.323;0.323;0.323;0.323;0.323;0.323;0.323;0.323;0.323
2014;VP0;i;*;tel_ramal;*;s;0;85;85;85;85;85;85;85;85;85;85;85;85
2014;VP0;i;*;ti_bi;*;s;0;725.75;725.75;725.75;725.75;725.75;725.75;725.75;725.75;725.75;725.75;725.75;725.75
2014;VP0;i;*;ti_comunicator;*;s;0;30;30;30;30;30;30;30;30;30;30;30;30
2014;VP0;i;*;ti_micro;*;s;0;100;100;100;100;100;100;100;100;100;100;100;100
2014;VP0;i;*;ti_project;*;s;0;73.33;73.33;73.33;73.33;73.33;73.33;73.33;73.33;73.33;73.33;73.33;73.33
2014;VP0;i;*;ti_pwsati;*;s;0;244.08;244.08;244.08;244.08;244.08;244.08;244.08;244.08;244.08;244.08;244.08;244.08
2014;VP0;i;*;ti_sap;*;s;0;366.67;366.67;366.67;366.67;366.67;366.67;366.67;366.67;366.67;366.67;366.67;366.67
2014;VP0;i;*;ti_viabil;*;s;0;127.5;127.5;127.5;127.5;127.5;127.5;127.5;127.5;127.5;127.5;127.5;127.5
2014;VP0;i;*;ti_visio;*;s;0;64.58;64.58;64.58;64.58;64.58;64.58;64.58;64.58;64.58;64.58;64.58;64.58
2014;VP0;i;*;ti_xrt;*;s;0;290.58;290.58;290.58;290.58;290.58;290.58;290.58;290.58;290.58;290.58;290.58;290.58
2014;VP0;i;*;vr;1;s;0;523;523;523;523;523;523;523;523;523;523;523;523
2014;VP0;i;*;vr;2;s;0;523;523;523;523;523;523;523;523;523;523;523;523
2014;VP0;i;*;vr;3;s;0;523;523;523;523;523;523;523;523;523;523;523;523
2014;VP0;i;*;vr;4;s;0;523;523;523;523;523;523;523;523;523;523;523;523
2014;VP0;i;*;vr;5;s;0;523;523;523;523;523;523;523;523;523;523;523;523
2014;VP0;i;*;vr;6;s;0;523;523;523;523;523;523;523;523;523;523;523;523
2014;VP0;i;*;vr;7;s;0;523;523;523;523;523;523;523;523;523;523;523;523
2014;VP0;i;*;vt_custo_func;1;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;vt_custo_func;2;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;vt_custo_func;3;s;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;VP0;i;*;vt_custo_func;4;s;0;0;0;0;0;0;0;0;0;0;0;0;0
