;ano;cod_ccusto;cod_classe_custo;cod_sub_classe_custo;obs_valor;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12
;2023;C0304REGRJ;5200502005;00;;320;320;320;320;320;320;320;320;320;320;320;320
;2023;C0042COAES;5200502001;00;Enel - Energia Elétrica - Rateado via fatura condomínio;15500;15500;15500;15500;15500;15500;15500;15500;15500;15500;15500;15500
;2023;C2546RSPRF;5200503011;00;UNIFORMES VISTORIADORAS PREFERENCE - FORNECEDOR FERFEI;90;90;90;90;90;90;90;90;90;90;90;90
;2023;C0304RJCAR;5200502005;00;;42;42;42;42;42;42;42;42;42;42;42;42
;2023;C0042COAES;5200502002;00;Sabesp - Água e Esgoto - rateado via fatura condomínio;3250;3250;3250;3250;3250;3250;3250;3250;3250;3250;3250;3250
;2023;C0304RJPER;5200502005;00;;350;350;350;350;350;350;350;350;350;350;350;350
;2023;C0042BLAES;5200502003;30;LINK DE INTERNET, BACK UP E VOIP;3100;3100;3100;3100;3100;3100;3100;3100;3100;3100;3100;3100
;2023;C0042BLAES;5200503001;30;VIAGEM À SÃO LUÍS;0;0;2000;0;0;0;0;0;0;0;0;2000
;2023;C0042BLAES;5200503002;30;Material de escritório;1000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0219SLCEI;5200504009;00;Locação de veiculo para ações externas.;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200
;2023;C0042BLAES;5200503004;30;Material de copa e cozinha, galão de água;250;250;250;250;250;250;250;250;250;250;250;250
;2023;C0042BLAES;5200503005;30;Uber;90;90;90;90;90;90;90;90;90;90;90;90
;2023;C0042BLAES;5200504010;00;;8600;8600;8600;8600;8600;8600;8600;8600;8600;8600;8600;8600
;2023;C0042COGCB;5200208006;30;Licenças para treinamentos voltados a áreas de  Programação, Data Science, Devops. Licença anual com acesso completo a todos os cursos por 1 ano.;350;350;350;350;350;350;350;350;350;350;350;350
;2023;C0219COCTR;5200503005;30;Reuniões externas e fechamentos;100;50;100;50;100;50;100;50;50;100;100;100
;2023;C2546RSDGP;5200503005;30;viagens de uber e 99pop, para vistorias de DGP.;560;560;560;560;560;560;560;560;560;560;560;560
;2023;C0221SPQUA;5200504007;00;Autodoc 3.675/mês por 12 meses\nGedweb: 5.5k 1 vez ao ano\nFrequenza: parcela rateada entre regionais SP=R$600,00/mês\nMelhoria Autodoc 12k - 1 vb para o ano\nMelhoria Frequenza 6k - 1 vb para o ano;4275;4275;7275;9775;10275;4275;4275;10275;7275;4275;4275;4275
;2023;C3216CSAES;5200503004;30;BrSupply - Materiais de Copa e Cozinha - R$ 2.000\nVila Nova - Água Mineral - R$ 1.2000\nNespresso - R$ 1.000\nRodrigo - Frutas Staff - R$ 4.200\nJJ - Materiais de Copa/Café - R$ 1.000\nAluli - Café diretores - R$ 250\nPilão - Maq de Café - R$ 1.500;11150;11150;11150;11150;11150;11150;11150;11150;11150;11150;11150;11150
;2023;C0219COCTR;5200503009;00;;100;100;100;100;100;100;100;100;100;100;100;100
;2023;C3216CSAES;5200503005;30;Uber e Transportes - R$ 300\nCafé da manhã equipe - R$ 500;800;800;800;800;800;800;800;800;800;800;800;800
;2023;C0219COCTR;5200504012;30;Café da manhã reuniões mensais;0;250;0;250;0;250;0;250;0;250;0;250
;2023;C0042BLAES;5200504019;30;SERVIÇO DE MOTOBOY;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100
;2023;C0042BLAES;5200504025;30;CUSTO AUXILIAR DE SERVIÇOS GERAIS SEG, QUA E SEX;2971;2971;2971;2971;2971;2971;2971;2971;2971;2971;2971;2971
;2023;C0042BLAES;5200504025;31;CUSTO RECEPCIONISTA;6200;6200;6200;6200;6200;6200;6200;6200;6200;6200;6200;6200
;2023;C2546GERSP;5200503005;30;deslocamento para vistorias e personalização;350;350;350;350;350;350;350;350;350;350;350;350
;2023;C0221COREB;5200504002;31;monitoramento das redes sociais;41800;41800;41800;41800;41800;41800;41800;41800;41800;41800;41800;41800
;2023;C0221COREB;5200504002;32;Jantar mai mídia kit do prêmio reclame aqui;0;0;0;0;0;0;0;0;0;0;47564;0
;2023;C0221COREB;5200504002;33;Plataforma de gamificação e incentivo para central de atendimento;2600;2600;2600;2600;2600;2600;2600;2600;2600;2600;2600;2600
;2023;C0221COREB;5200504025;30;Base consultoria / Verba para temporários;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
;2023;C0221COREB;5200504002;34;Adequação a NR17 (equipamento, licenças e pessoas);3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000
;2023;C0304EQINP;5200503005;30;PARA COMPROMISSOS EXTERNOS AO ESCRITÓRIO;400;400;400;400;400;400;400;400;400;400;400;400
;2023;C3216CSAES;5200503002;30;BrSupply - Materiais de Escritório - R$ 3.000\nSafakey - Confecção de crachás - R$ 150;3150;3150;3150;3150;3150;3150;3150;3150;3150;3150;3150;3150
;2023;C0304RJREP;5200503005;30;Uber e taxi para deslocamento;100;100;100;100;100;100;100;100;100;100;100;100
;2023;C0304RJREP;5200504020;30;Usuário pipefy;220;220;220;220;220;220;220;220;220;220;220;220
;2023;C0221SPDEL;5200503016;00;Anuidade CREA;600;0;0;0;0;0;0;0;0;0;0;0
;2023;C3099RHUVZ;5200502004;00;;200;200;200;200;200;200;200;200;200;200;200;200
;2023;C0304DITER;5200503001;30;Orçamento Viagens;1232;1232;1232;1232;1232;1233;1233;1233;1233;1233;1233;1233
;2023;C0304DITER;5200503005;30;Orçamento de condução, lanches e refeições;445;445;445;445;445;445;445;445;445;445;445;445
;2023;C0304DITER;5200504020;30;Orçamento Pipefy;44;44;44;44;44;44;44;44;44;44;44;44
;2023;C0219EQRHS;5200505004;00;;0;0;5000;0;0;0;0;0;0;0;0;0
;2023;C3099RHUVZ;5200502005;00;;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
;2023;C0304DITER;5200504020;31;Orçamento Economapas;44;44;44;44;44;44;44;44;44;44;44;44
;2023;C0304EQINP;5200503001;30;Orçamento Viagens;460;460;460;460;460;460;460;460;460;460;459;459
;2023;C3099RHUVZ;5200504005;00;Tecnorisk - Plataforma de auditoria de Recrutamento e Seleção;64104;14404;89474;14404;14404;14404;14404;14404;14404;14404;14404;14404
;2023;C0219SLPOA;5200503005;30;Comercial Uber (R$850,00) + R$ 100 KM;950;950;950;950;950;950;950;950;950;950;950;950
;2023;C0219SLPOA;5200503011;00;;7200;0;0;0;0;0;0;0;0;0;0;0
;2023;C0042COCFI;5200503005;30;Orçamento para Uber e refeições;607;607;607;607;607;607;607;607;607;607;607;607
;2023;C0042COPRE;5200503016;00;;101773;101773;101773;101773;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200208006;30;Formação de estagiários;5000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200208006;31;Cursos solicitados para todos os colaboradores da Regional;40000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200208006;32;Palestras regionais;0;0;0;0;0;0;10000;0;0;0;0;0
;2023;C0600RSRHU;5200208006;33;Manutenção dos incentivos de 2022;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200
;2023;C0600RSRHU;5200208006;34;Programa de multiplicação de ações de diversidade;5000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200208008;30;Vacinas tetravalente H1N1;0;0;0;0;17000;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200208008;31;Quick Massage;25000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200208008;32;Qualidade de vida;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
;2023;C0600RSRHU;5200208008;33;Qualidade de vida no escritório;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500
;2023;C0600RSRHU;5200208008;34;Checkup Mãe De Deus, Life Check Ou Semelhante;0;0;0;0;8000;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200208008;35;Cesta De Natal Colaboradores;0;0;0;0;0;0;0;0;0;0;37000;0
;2023;C0600RSRHU;5200503001;30;3 pessoas;5000;0;0;0;0;0;0;5000;0;0;0;0
;2023;C0600RSRHU;5200503002;30;Canetas, papel, materiais diversos;3000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200503005;30;Transportes para equipe;150;150;150;150;150;150;150;150;150;150;150;150
;2023;C0042NENNE;5200503001;30;Viagens Diversas;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000
;2023;C0600RSRHU;5200503009;00;;2000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200504002;30;Dia dos pais, mães, crianças, etc. 15 reais por colaborador;3750;3750;3750;3750;3750;3750;3750;3750;3750;3750;3750;3750
;2023;C0600RSRHU;5200504002;31;Compra dos itens em grande quantidade;10000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200504002;32;Compra de itens para meritocracia;6000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200504002;33;Aniversariantes. 50 reais por colaborador;12500;0;0;0;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200504002;34;Bolos para escritório e obras;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170;1170
;2023;C0600RSRHU;5200504002;35;eventos diversos;960;960;960;960;960;960;960;960;960;960;960;960
;2023;C0600RSRHU;5200504002;36;confraternização de colaboradores;0;0;0;0;20000;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200504002;37;Investimento em divulgação da marca;0;0;0;0;0;0;0;0;20000;0;0;0
;2023;C0600RSRHU;5200504002;38;Por dentro do produto;300;300;300;300;300;300;300;300;300;300;300;300
;2023;C0600RSRHU;5200504002;39;Presentes para datas comemorativas;0;0;0;0;1500;0;0;2000;0;0;0;0
;2023;C0600RSRHU;5200504002;40;Formação de jovens aprendizes;225;225;225;225;225;225;225;225;225;225;225;225
;2023;C0600RSRHU;5200504002;41;Ação de aniversário nas obras;200;200;200;200;200;200;200;200;200;200;200;200
;2023;C0600RSRHU;5200504002;42;Ação de dia das crianças com funcionários de obras;0;0;0;0;0;0;0;0;0;30000;0;0
;2023;C0600RSRHU;5200504012;30;Reunião com todos os colaboradores;0;0;50000;0;0;0;0;0;50000;0;0;0
;2023;C0600RSRHU;5200504012;31;Evento para filhos de colaboradores;0;0;0;0;0;15000;0;0;0;0;0;0
;2023;C0042COPTR;5200504002;30;Assessoria tributária e revisão das obrigações acessórias;16000;42000;22500;22500;101500;22500;22500;22500;22500;22500;22500;22500
;2023;C0042COPTR;5200504020;30;Softwares para cruzamento das obrigações acessórias;555;555;555;555;555;555;555;555;555;555;555;555
;2023;C0221COAPI;5200503005;30;transporte em dias e horários fora do expediente;200;200;200;200;200;200;200;200;200;200;200;200
;2023;C0042COPRE;5200503007;00;;20000;20000;20000;20000;20000;20000;20000;20000;20000;20000;20000;20000
;2023;C0600RSRHU;5200504012;32;Itens não perecíveis para integração de novos colaboradores;4000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0600RSRHU;5200504012;33;treinamentos diversos;0;0;1000;0;0;1000;0;0;1000;0;0;0
;2023;C0600RSRHU;5200505004;00;;0;0;0;15000;0;0;0;0;15000;0;0;0
;2023;C0600RSRHU;5200504012;34;Festa de fim de ano;0;0;0;0;0;0;0;0;0;0;0;150000
;2023;C3099VZINO;5200503005;30;Despesas com transporte, estacionamento e deslocamento;500;500;500;500;500;500;500;500;500;500;500;500
;2023;C3099VZINO;5200504012;30;Reunião semestral Equipe;0;0;0;0;0;0;720;0;0;0;0;720
;2023;C3099VZINO;5200504012;31;Reunião Mensal de Equipe;200;200;200;200;200;200;200;200;200;200;200;200
;2023;C0042SPCRP;5200502004;00;;150;150;150;150;150;150;150;150;150;150;150;150
;2023;C0042SPCRP;5200503003;00;Pastas para envio de contrato registro ao cliente.;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200
;2023;C0275RHUVH;5200208006;30;Palestras e treinamentos;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000
;2023;C0042SPCRP;5200503005;30;Transporte para reuniões em cartório.;300;300;300;300;300;300;300;300;300;300;300;300
;2023;C0275RHUVH;5200208008;30;Megaton e outros fornecedores;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000
;2023;C0042SPCRP;5200503005;31;Alimentação para reuniões de equipe.;450;450;450;450;450;450;450;450;450;450;450;450
;2023;C0042SPCRP;5200503005;32;Itens para reposição do frigobar da área.;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
;2023;C0042SPCRP;5200503008;00;;200;200;200;200;200;200;200;200;200;200;200;200
;2023;C0042SPCRP;5200503009;00;aquisição de frigobar para área.;2000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0042SPCRP;5200504002;30;Manutenção do projeto de inteligência artificial.;7353;7353;7353;7353;4515;4515;4515;4515;4515;4515;4515;4515
;2023;C0042SPCRP;5200504002;31;Rateio de manutenção de impressoras.;130;130;130;130;130;130;130;130;130;130;130;130
;2023;C0042SPCRP;5200504002;32;Manutenção das scanner's da área.;300;300;300;300;300;300;300;300;300;300;300;300
;2023;C3099COMVZ;5200502005;00;;300;300;300;300;300;300;300;300;300;300;300;300
;2023;C3099COMVZ;5200503003;00;;200;200;200;200;200;200;200;200;200;200;200;200
;2023;C0042SPCRP;5200504012;30;Reunião geral do backoffice financeiro;2500;0;0;0;2500;0;0;0;0;2500;0;0
;2023;C0042SPCRP;5200504019;30;Utilização de serviços de motoboy para cartórios, bancos e clientes.;11100;11100;11100;11100;9000;9000;9000;9000;9000;9000;9000;9000
;2023;C0042SLAES;5200502004;00;;1200;0;0;0;0;0;0;0;0;0;0;0
;2023;C0275RHUVH;5200502003;30;Vivaz house - 5o andar;120;120;120;120;120;120;120;120;120;120;120;120
;2023;C0275RHUVH;5200503001;30;Viagem pra Regional Rio;0;3000;0;0;0;3000;0;0;0;0;3000;0
;2023;C0275RHUVH;5200504012;30;JAN - Convenção Geral , DEZ Confraternização  e mes cafe com corretores e treinamentos;200000;2000;2000;25000;2000;2000;2000;2000;25000;2000;2000;60000
;2023;C0275RHUVH;5200504020;30;Maquinas Vivaz -  5o andar -  500 maquinas;18000;0;0;0;0;0;0;0;0;0;0;0
;2023;C0275RHUVH;5200504020;31;Conexao SELLER / MOBI / ET;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000;25000
;2023;C0275RHUVH;5200504025;30;Contrataçaõ de captadora e de MKT - instagram - SPRED;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000
;2023;C0221REEXC;5200208008;30;Auxílio creche para 2 colaboradores.;700;0;0;0;0;0;0;700;700;700;700;700
;2023;C0221REEXC;5200503002;30;Equipamento para novos colaboradores e substituição de heds antigos.;0;0;0;0;3500;0;0;0;0;0;3500;0
;2023;C0221REEXC;5200503005;30;Deslocamento da equipe para produção dos eventos: VT, montagem, Evento e desmontagem.;4650;4650;4650;4650;4650;4650;4650;4650;4650;4650;4650;4650
;2023;C0221REEXC;5200503005;31;Alimentação da equipe que participa dos eventos digitais noturnos no escritório.;420;420;420;420;420;420;420;420;420;420;420;420
;2023;C0221REEXC;5200503005;32;Viagens para o interior de SP e regionais.;0;0;1500;0;0;0;1500;0;0;0;2000;0
;2023;C0221REEXC;5200504002;30;Sala pesquisa + moderação + brindes para realização do Focus Group.;0;0;16500;0;0;16500;0;0;16500;0;0;16500
;2023;C0221REEXC;5200504002;31;PRÊMIO: 6 cases de 2000 + jantar de premiação;0;0;0;0;0;0;25000;0;0;0;0;0
;2023;C0221REEXC;5200504002;32;PRÊMIO: Possibilidade de concorrer ao Latam;0;0;0;0;0;0;15000;0;0;0;0;0
;2023;C0221REEXC;5200504002;33;PRÊMIO: Prêmios de Comunicação e experiência do cliente;0;0;0;0;0;0;0;0;30000;0;0;0
;2023;C0221REEXC;5200504002;34;EVENTO de CX do Ano (3 ingressos);0;0;0;0;0;0;0;0;0;9000;0;0
;2023;C0221REEXC;5200504002;35;EVENTO de Tecnologia e CX (2 ingressos);0;0;0;5000;0;0;0;0;0;0;0;0
;2023;C0221REEXC;5200504002;36;Wokshop entre as áreas de Relacionamento Brasil (Custo com local, buffet, palestrante e equipamentos);0;0;0;0;0;0;0;0;0;0;75000;0
;2023;C0221REEXC;5200504002;37;Membros do IBHE que dá direito a acesso a conteúdos e palestras, bem como participar de grupos de estudo.;0;0;8000;0;0;0;0;0;0;0;0;0
;2023;C0221REEXC;5200504020;30;Ferramenta que substituirá o Code K, Alfapeople para desenvolvimento e disparos de e-mails para clientes.;6750;6750;6750;6750;6750;6750;6750;6750;6750;6750;6750;6750
;2023;C0221REEXC;5200504020;31;Operadora que fará os disparos de SMS para clientes, em substituição da Sinch.;4670;4670;4670;4670;4670;4670;4670;4670;4670;4670;4670;4670
;2023;C0221REEXC;5200504020;32;Sustentação dos blogs Living e Cyrela.;910;910;910;910;910;910;910;910;910;910;910;910
;2023;C0221REEXC;5200504020;33;Plataforma de gestão e disparo da pesquisa. Aumento do volume de opiniões e ajuste de 10%.;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700;3700
;2023;C0221REEXC;5200504020;34;Sistema de agendamento para eventos e atendimentos para clientes das 3 regionais. U$ 100 - aproximadamente R$700, 00 com encargos.;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100
;2023;C0221REEXC;5200504020;35;Licença para uso do zoom com 500 usuários utilizada para eventos online com os clientes SP.;0;0;3000;0;0;0;0;0;0;0;0;0
;2023;C0221REEXC;5200504025;30;Considerando custo por 180 dias:\n1 analista Jr: 49.575,71\n1 Assistente ADM:  38.859,99;14740;0;0;0;0;0;0;14740;14740;14740;14740;14740
;2023;C0042COAES;5200503002;30;BrSupply - Materiais de Escritório - R$ 7.000\nPrint Claro Gráfica - Envelopes / diversos - R$ 750\nBrasil Brindes - Mat Salas de Reunião/Clinetes - R$ 750;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500
;2023;C0042COAES;5200503004;30;BrSupply - Mat. Copa e Cozinha - R$ 5.000\nM&B Embal - Copos Clientes - R$ 1.200\nJJ - Mat Visitas/Copa Presid - R$ 2.700\nVila Nova - Água Min - R$ 4.250\nNespresso/Nestle - Café/Capsulas - R$ 500\nNunes - Frutas Visitas/Diretoria - R$ 3.000\nPilão - Maq de Café - R$ 5.800\nSob Portuga - Mat visitas, clientes presidência - R$ 3.000\nRodrigo - Frutas Staff - R$ 15.000;40450;40450;40450;40450;40450;40450;40450;40450;40450;40450;40450;40450
;2023;C0042COAES;5200503005;30;Uber - Condução / Transporte - R$ 1.000\nLanches e Refeições - Café de Equipe Lanches - R$ 1.200;2200;2200;2200;2200;2200;2200;2200;2200;2200;2200;2200;2200
;2023;C0042COAES;5200504019;30;Mega Company - Serviços Portadores - R$ 12.139\nLOGGI - Sistema Motoboys - R$ 2.500\nIS - Malotes - R$ 6.000\nCorreios - Postagens - R$ 1.250\nCoopertaxi - Taxi Diretoria - R$ 1.000;22042;22042;22042;22042;22042;22889;22889;23339;23339;23339;23339;23339
;2023;C0042COCTB;5200208006;30;Curso obrigatório para contadora;417;417;417;417;417;417;417;417;417;417;417;417
;2023;C0042COCTB;5200504001;30;Auditoria anual;74641;74641;74641;74641;74641;74641;74641;74641;74641;74641;74641;74641
;2023;C0221COTRD;5200503005;30;Despesas com Uber e refeição para trabalhos fora do expediente;623;623;623;623;623;623;623;623;623;623;623;623
;2023;C0221COTRD;5200503008;00;;46;46;46;46;46;46;46;46;46;46;46;46
;2023;C0221COTRD;5200503009;00;;0;0;0;0;0;280;0;0;0;0;0;0
;2023;C0221COTRD;5200503013;00;;510;510;510;510;510;510;510;510;510;510;510;510
;2023;C0221COTRD;5200504002;30;Colaboradora terceirizada referente vaga de analista do departamento de tributos;12600;12600;12600;12600;12600;12600;12600;12600;12600;12600;12600;12600
;2023;C0219RJTC2;5200502003;30;Telefonia e internet.;2979;2979;2979;2979;2979;3277;3277;3277;3277;3277;3277;3277
;2023;C0219RJTC2;5200502003;31;Internet 100 Mb: R$ 1.431,04 até Agosto\nA partir de Setembro R$ 1.575,14,00 (Reajuste  10,08%);1432;1432;1432;1432;1432;1432;1432;1432;1576;1576;1576;1576
;2023;C0219RJTC2;5200502003;32;Internet 100 Mb.;2805;2805;2805;2805;2805;2805;2805;2805;2805;2805;2805;2805
