ano;centroCusto;classeCusto;idDetalhe;descr;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12;fornecedor;obs_valor;aux
2023;C0042VZMKT;5200208006;30;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;0;0;10000;0;0;0;0;7000;0;0;0;0;Instituições de ensino;Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador
2023;C0219EQRHS;5200208006;30;Incentivo Educacional - Incentivo Educacional Wagner Couto - Pós Graduação;520;520;520;520;520;520;520;520;520;520;520;520;Incentivo Educacional;Incentivo Educacional Wagner Couto - Pós Graduação;Incentivo Educacional - Incentivo Educacional Wagner Couto - Pós Graduação
2023;C0219SLRHV;5200208006;30;FIA , DOM CABRAL , USP - Fornecedor/Serviço: FIA / Palestras e Coach (pendente)\nObs: Fornecedor/Serviço: Fontes Diversas (pendente)\nObs: Fornecedor/Serviço: Varias fontes (pendente)\nObs: Brasil 885 sendo:\nRio 200 k / Sul 110 k / SP 1200k Total \nSP = FDC - Liderança Transformadora 200k / Transformação Digital 200k / Treinamento Supervisores 100k / Treinamento Corretores 150k / Treinamentos Backoffice 70k / 8 palestras de 30k (240k) / Coach 100k;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;130000;FIA , DOM CABRAL , USP;Fornecedor/Serviço: FIA / Palestras e Coach (pendente)\nObs: Fornecedor/Serviço: Fontes Diversas (pendente)\nObs: Fornecedor/Serviço: Varias fontes (pendente)\nObs: Brasil 885 sendo:\nRio 200 k / Sul 110 k / SP 1200k Total \nSP = FDC - Liderança Transformadora 200k / Transformação Digital 200k / Treinamento Supervisores 100k / Treinamento Corretores 150k / Treinamentos Backoffice 70k / 8 palestras de 30k (240k) / Coach 100k;FIA , DOM CABRAL , USP - Fornecedor/Serviço: FIA / Palestras e Coach (pendente)\nObs: Fornecedor/Serviço: Fontes Diversas (pendente)\nObs: Fornecedor/Serviço: Varias fontes (pendente)\nObs: Brasil 885 sendo:\nRio 200 k / Sul 110 k / SP 1200k Total \nSP = FDC - Liderança Transformadora 200k / Transformação Digital 200k / Treinamento Supervisores 100k / Treinamento Corretores 150k / Treinamentos Backoffice 70k / 8 palestras de 30k (240k) / Coach 100k
2023;C0219SPBUS;5200208006;30;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;0;0;10000;0;0;0;0;15000;0;0;0;0;Instituições de ensino;Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador;Instituições de ensino - Obs: Treinamentos e cursos específicos da área\nR$3.000 por analista\nR$5.000 para coordenador
2023;C0221DPADM;5200208006;30;Treinamentos - Plano Estratégico;0;20000;0;0;0;0;0;0;0;0;20000;0;Treinamentos;Plano Estratégico;Treinamentos - Plano Estratégico
2023;C0221DPADM;5200208006;31;Treinamento Comunik-se - treinamento em comunicação;0;25000;25000;25000;25000;0;0;0;0;0;0;0;Treinamento Comunik-se;treinamento em comunicação;Treinamento Comunik-se - treinamento em comunicação
2023;C0221PJCYR;5200208006;30;Cursos e Seminários - Participação em seminários e palestras, como formação da equipe e atualização dos profissionais da área: BIM-R$15.000,00 (consultorias / treinamento)                                                                                                                                                                                                                        Consultorias técnicas gerais - R$25.000,00. Considerado R$500,00 a cada 4 meses para participação em eventos;4600;4600;4600;4600;4600;4600;4600;4600;4600;4600;4600;4400;Cursos e Seminários;Participação em seminários e palestras, como formação da equipe e atualização dos profissionais da área: BIM-R$15.000,00 (consultorias / treinamento)                                                                                                                                                                                                                        Consultorias técnicas gerais - R$25.000,00. Considerado R$500,00 a cada 4 meses para participação em eventos;Cursos e Seminários - Participação em seminários e palestras, como formação da equipe e atualização dos profissionais da área: BIM-R$15.000,00 (consultorias / treinamento)                                                                                                                                                                                                                        Consultorias técnicas gerais - R$25.000,00. Considerado R$500,00 a cada 4 meses para participação em eventos
2023;C0275RHUVH;5200208006;30;Fia , FGV , Caio Carneiro - Palestras e treinamentos;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;40000;Fia , FGV , Caio Carneiro;Palestras e treinamentos;Fia , FGV , Caio Carneiro - Palestras e treinamentos
2023;C0304RJJUM;5200208006;30;Livro Incorporação Imobiliária - compra de livro para meta desenvolvimento de time;0;160;0;0;0;0;0;0;0;0;0;0;Livro Incorporação Imobiliária;compra de livro para meta desenvolvimento de time;Livro Incorporação Imobiliária - compra de livro para meta desenvolvimento de time
2023;C0304RJRHU;5200208006;30;Incentivo Educacional - A ser utilizado conforme alinhado em comitê de talentos. Premissão corporativa é orçar 0,5% da folha sem GG e diretores. Com base na folha de 10/22 92k;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;Incentivo Educacional;A ser utilizado conforme alinhado em comitê de talentos. Premissão corporativa é orçar 0,5% da folha sem GG e diretores. Com base na folha de 10/22 92k;Incentivo Educacional - A ser utilizado conforme alinhado em comitê de talentos. Premissão corporativa é orçar 0,5% da folha sem GG e diretores. Com base na folha de 10/22 92k
2023;C0304RJRHU;5200208006;31;Cursos e Treinamentos - Premissa corporativa 0,2% da folha sem GGs e diretores = 36k;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;Cursos e Treinamentos;Premissa corporativa 0,2% da folha sem GGs e diretores = 36k;Cursos e Treinamentos - Premissa corporativa 0,2% da folha sem GGs e diretores = 36k
2023;C0304RJRHU;5200208006;32;Treinamento Instituto Gueto - Capacitação pra R&S - alinhamento com a meta de diversidade.;0;0;0;17000;0;0;0;0;0;0;0;0;Treinamento Instituto Gueto;Capacitação pra R&S - alinhamento com a meta de diversidade.;Treinamento Instituto Gueto - Capacitação pra R&S - alinhamento com a meta de diversidade.
2023;C0600RSRHU;5200208006;30;PDA/ estagiários - Formação de estagiários;5000;0;0;0;0;0;0;0;0;0;0;0;PDA/ estagiários;Formação de estagiários;PDA/ estagiários - Formação de estagiários
2023;C0600RSRHU;5200208006;31;Cursos externos - Cursos solicitados para todos os colaboradores da Regional;40000;0;0;0;0;0;0;0;0;0;0;0;Cursos externos;Cursos solicitados para todos os colaboradores da Regional;Cursos externos - Cursos solicitados para todos os colaboradores da Regional
2023;C0600RSRHU;5200208006;32;Ciclo do Conhecimento - Palestras regionais;0;0;0;0;0;0;10000;0;0;0;0;0;Ciclo do Conhecimento;Palestras regionais;Ciclo do Conhecimento - Palestras regionais
2023;C0600RSRHU;5200208006;33;Incentivo educacional - Manutenção dos incentivos de 2022;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;3200;Incentivo educacional;Manutenção dos incentivos de 2022;Incentivo educacional - Manutenção dos incentivos de 2022
2023;C0600RSRHU;5200208006;34;Diversidade - Programa de multiplicação de ações de diversidade;5000;0;0;0;0;0;0;0;0;0;0;0;Diversidade;Programa de multiplicação de ações de diversidade;Diversidade - Programa de multiplicação de ações de diversidade
2023;C2546RSPES;5200208006;30;Incentivo educacional - Manutenção de incentivo.;833;833;833;833;833;833;833;833;833;833;833;833;Incentivo educacional;Manutenção de incentivo.;Incentivo educacional - Manutenção de incentivo.
2023;C2546RSRCL;5200208006;30;Instituto Cliente Feliz e Conquer - Treinamentos e palestras para equipe e regional;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;Instituto Cliente Feliz e Conquer;Treinamentos e palestras para equipe e regional;Instituto Cliente Feliz e Conquer - Treinamentos e palestras para equipe e regional
2023;C3099RHUVZ;5200208006;30;Jornada de Formação da Liderança - Cursos e treinamentos ao longo do ano para a Liderança Vivaz.;0;50000;0;0;0;0;0;50000;0;0;0;0;Jornada de Formação da Liderança;Cursos e treinamentos ao longo do ano para a Liderança Vivaz.;Jornada de Formação da Liderança - Cursos e treinamentos ao longo do ano para a Liderança Vivaz.
2023;C3099RHUVZ;5200208006;31;Programa Minas de Ouro - INvestimento em formação e empoderamento feminino liderança vivaz.;0;25000;0;0;0;0;0;25000;0;0;0;0;Programa Minas de Ouro;INvestimento em formação e empoderamento feminino liderança vivaz.;Programa Minas de Ouro - INvestimento em formação e empoderamento feminino liderança vivaz.
2023;C3099RHUVZ;5200208006;32;Plataforma de Treinamento - Pagamento da Plataforma LMS e Cursos e Treinamentos.;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500;8500;Plataforma de Treinamento;Pagamento da Plataforma LMS e Cursos e Treinamentos.;Plataforma de Treinamento - Pagamento da Plataforma LMS e Cursos e Treinamentos.
2023;C3099RHUVZ;5200208006;33;Incentivo Educacional - Cursos Externos;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;Incentivo Educacional;Cursos Externos;Incentivo Educacional - Cursos Externos
2023;C3099RHUVZ;5200208006;34;Coaching/Mentoring - Desenvolvimento de Líderes;0;0;60000;0;0;0;0;0;0;0;0;0;Coaching/Mentoring;Desenvolvimento de Líderes;Coaching/Mentoring - Desenvolvimento de Líderes
2023;C0042BLRHU;5200208008;30;QUALIDADE DE VIDA - GIFT ORK, VACINA, CESTA DE FIM DE ANO OBRAS;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;QUALIDADE DE VIDA;GIFT ORK, VACINA, CESTA DE FIM DE ANO OBRAS;QUALIDADE DE VIDA - GIFT ORK, VACINA, CESTA DE FIM DE ANO OBRAS
2023;C0042COREB;5200208008;30;Vacina gripe (SP) - 'Considerado (Escritórios +seller SP+ 150 corretores+Vivaz ) 80%. Lembrando que terceiros não foram considerados no cálculo. O valor orçado foi de 65 e fechamos a 63, logo orçamos um ajuste de 7% a 67,40 por dose. O RJ deve orçar a R$ 70 por dose.;0;0;0;88429;0;0;0;0;0;0;0;0;Vacina gripe (SP);'Considerado (Escritórios +seller SP+ 150 corretores+Vivaz ) 80%. Lembrando que terceiros não foram considerados no cálculo. O valor orçado foi de 65 e fechamos a 63, logo orçamos um ajuste de 7% a 67,40 por dose. O RJ deve orçar a R$ 70 por dose.;Vacina gripe (SP) - 'Considerado (Escritórios +seller SP+ 150 corretores+Vivaz ) 80%. Lembrando que terceiros não foram considerados no cálculo. O valor orçado foi de 65 e fechamos a 63, logo orçamos um ajuste de 7% a 67,40 por dose. O RJ deve orçar a R$ 70 por dose.
2023;C0042COREB;5200208008;31;Check Up Executivo - '2023 -  Valor por Executivo R$ 4000 x (38+putinato+marcia Adri) , Sul não considerado, RJ não considerado.;13334;13334;13334;13334;13334;13334;13334;13334;13334;13334;13334;13334;Check Up Executivo;'2023 -  Valor por Executivo R$ 4000 x (38+putinato+marcia Adri) , Sul não considerado, RJ não considerado.;Check Up Executivo - '2023 -  Valor por Executivo R$ 4000 x (38+putinato+marcia Adri) , Sul não considerado, RJ não considerado.
2023;C0042COREB;5200208008;32;Laboral/Quadras - Laboral, quadras, saude mental, palestra e Body;12100;26095;12100;22100;12100;12100;12100;12100;12100;22100;12100;12100;Laboral/Quadras;Laboral, quadras, saude mental, palestra e Body;Laboral/Quadras - Laboral, quadras, saude mental, palestra e Body
2023;C0042SLRHU;5200208008;30;QUALIDADE DE VIDA - VACINA, GIFT WORK, EXAMES;1775;1775;1775;1775;1775;1775;1775;1775;1775;1775;1775;1775;QUALIDADE DE VIDA;VACINA, GIFT WORK, EXAMES;QUALIDADE DE VIDA - VACINA, GIFT WORK, EXAMES
2023;C0042SPOTE;5200208008;30;Auxilio Creche - Reembolso referente a auxilio creche de R$ 350/mês durante 6 meses;0;350;350;350;350;350;350;0;0;0;0;0;Auxilio Creche;Reembolso referente a auxilio creche de R$ 350/mês durante 6 meses;Auxilio Creche - Reembolso referente a auxilio creche de R$ 350/mês durante 6 meses
2023;C0219EQRHS;5200208008;30;Aniversariantes Mensal - Considerar R$ 50 x 45p = R$2.250 anual + R$450 mês para bolo + refri + descartavéis e chocolates talento;640;640;640;640;640;640;640;640;640;640;640;640;Aniversariantes Mensal;Considerar R$ 50 x 45p = R$2.250 anual + R$450 mês para bolo + refri + descartavéis e chocolates talento;Aniversariantes Mensal - Considerar R$ 50 x 45p = R$2.250 anual + R$450 mês para bolo + refri + descartavéis e chocolates talento
2023;C0219EQRHS;5200208008;31;Frutas no Escritório - Frutas para escritório;2520;2520;2520;2520;2520;2520;2520;2520;2520;2520;2520;2520;Frutas no Escritório;Frutas para escritório;Frutas no Escritório - Frutas para escritório
2023;C0219EQRHS;5200208008;32;Campanha de Vacinação - R$ 65,00 px 100;0;0;0;0;0;0;6500;0;0;0;0;0;Campanha de Vacinação;R$ 65,00 px 100;Campanha de Vacinação - R$ 65,00 px 100
2023;C0219EQRHS;5200208008;33;Cesta de Natal - 50 px - R$ 150;0;0;0;0;0;0;0;0;0;0;0;7500;Cesta de Natal;50 px - R$ 150;Cesta de Natal - 50 px - R$ 150
2023;C0219EQRHS;5200208008;34;Coroa de Flores + Nascimento - R$ 450 coroa x 6 + R$ 150 nascimento x 3;3150;0;0;0;0;0;0;0;0;0;0;0;Coroa de Flores + Nascimento;R$ 450 coroa x 6 + R$ 150 nascimento x 3;Coroa de Flores + Nascimento - R$ 450 coroa x 6 + R$ 150 nascimento x 3
2023;C0219EQRHS;5200208008;35;Ações de Endomarketing - Setembro Amarelo R$ 5 x 140\nOutubro Rosa R$ 5 x 140\nNovembro Azul R$ 5 x 140\nSemana Farroupilha R$ 10 x 150\nHalowen R$ 10 x 150\nFesta Junina R$ 10 x 150\nAções de Incorporação/Terrenos R$ 10 x 150\nDatas Comemorativas (Ações de Endomarketing) R$ 10 x 150;800;0;250;0;0;3000;0;400;4400;2500;1000;0;Ações de Endomarketing;Setembro Amarelo R$ 5 x 140\nOutubro Rosa R$ 5 x 140\nNovembro Azul R$ 5 x 140\nSemana Farroupilha R$ 10 x 150\nHalowen R$ 10 x 150\nFesta Junina R$ 10 x 150\nAções de Incorporação/Terrenos R$ 10 x 150\nDatas Comemorativas (Ações de Endomarketing) R$ 10 x 150;Ações de Endomarketing - Setembro Amarelo R$ 5 x 140\nOutubro Rosa R$ 5 x 140\nNovembro Azul R$ 5 x 140\nSemana Farroupilha R$ 10 x 150\nHalowen R$ 10 x 150\nFesta Junina R$ 10 x 150\nAções de Incorporação/Terrenos R$ 10 x 150\nDatas Comemorativas (Ações de Endomarketing) R$ 10 x 150
2023;C0219EQRHS;5200208008;36;Quick Massagem ou Ginastica Laboral - Ação de qualidade de vida no escritório.;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;Quick Massagem ou Ginastica Laboral;Ação de qualidade de vida no escritório.;Quick Massagem ou Ginastica Laboral - Ação de qualidade de vida no escritório.
2023;C0219EQRHS;5200208008;37;Insumos Café - Insumos para máquina de café SELLER;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;2350;Insumos Café;Insumos para máquina de café SELLER;Insumos Café - Insumos para máquina de café SELLER
2023;C0219EQRHV;5200208008;30;Programa Qualidade de VIDA CLT - CLT;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;Programa Qualidade de VIDA CLT;CLT;Programa Qualidade de VIDA CLT - CLT
2023;C0219RJRHU;5200208008;30;À definir..... - Vacinação gripe - Maio. 200 doses à R$ 70/unidade.;0;0;0;0;14000;0;0;0;0;0;0;0;À definir.....;Vacinação gripe - Maio. 200 doses à R$ 70/unidade.;À definir..... - Vacinação gripe - Maio. 200 doses à R$ 70/unidade.
2023;C0219RJRHU;5200208008;31;À definir...... - Kit final de ano CLTs – 40kits de R$ 200,00 = R$ 8.000,00 . Novembro. Kit final de ano terceiros - 30 Kits de R$ 150,00 = R$ 4500.00. Novembro;0;0;0;0;0;0;0;0;0;0;12500;0;À definir......;Kit final de ano CLTs – 40kits de R$ 200,00 = R$ 8.000,00 . Novembro. Kit final de ano terceiros - 30 Kits de R$ 150,00 = R$ 4500.00. Novembro;À definir...... - Kit final de ano CLTs – 40kits de R$ 200,00 = R$ 8.000,00 . Novembro. Kit final de ano terceiros - 30 Kits de R$ 150,00 = R$ 4500.00. Novembro
2023;C0219RJRHU;5200208008;32;À definir...... - Frutas nos escritórios (Lead e Torre Norte);2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;À definir......;Frutas nos escritórios (Lead e Torre Norte);À definir...... - Frutas nos escritórios (Lead e Torre Norte)
2023;C0219RJRHU;5200208008;33;Magazine Luiza - Dr Coluna para CLTS - R$ 7500,00;7500;0;0;0;0;0;0;0;0;0;0;0;Magazine Luiza;Dr Coluna para CLTS - R$ 7500,00;Magazine Luiza - Dr Coluna para CLTS - R$ 7500,00
2023;C0219RJRHU;5200208008;34;_A definir.... - Kit Natalidade - R$ 310. Fevereiro à Novembro;0;310;310;310;310;310;310;310;310;310;310;0;_A definir....;Kit Natalidade - R$ 310. Fevereiro à Novembro;_A definir.... - Kit Natalidade - R$ 310. Fevereiro à Novembro
2023;C0219RJRHU;5200208008;35;Actháa Condicionamento Físico - Shiatsu 1x por semana nas duas sedes/Torre Norte e Lead. R$ 4.300/mensal;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;4300;Actháa Condicionamento Físico;Shiatsu 1x por semana nas duas sedes/Torre Norte e Lead. R$ 4.300/mensal;Actháa Condicionamento Físico - Shiatsu 1x por semana nas duas sedes/Torre Norte e Lead. R$ 4.300/mensal
2023;C0219SLRHV;5200208008;30;Programa Saude Mental - Regionais;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000;35000;Programa Saude Mental;Regionais;Programa Saude Mental - Regionais
2023;C0221COREB;5200208008;30;Auxílio Creche - Creche para 2 funcionárias. Planejamento avaliando 2 grávidas confirmadas + 2 possíveis;700;700;700;700;700;700;700;700;700;700;700;700;Auxílio Creche;Creche para 2 funcionárias. Planejamento avaliando 2 grávidas confirmadas + 2 possíveis;Auxílio Creche - Creche para 2 funcionárias. Planejamento avaliando 2 grávidas confirmadas + 2 possíveis
2023;C0221COREB;5200208008;31;Campanha de performance RLC - Campanha para performance da equipe de RLC + agradecimento RA;400;400;400;400;400;400;400;400;400;400;400;400;Campanha de performance RLC;Campanha para performance da equipe de RLC + agradecimento RA;Campanha de performance RLC - Campanha para performance da equipe de RLC + agradecimento RA
2023;C0221GERLC;5200208008;30;Comitê do Réla - Orçamento para ações de clima da área de Relacionamento;0;3000;3000;3000;3000;3000;3000;3000;3000;3000;3000;10000;Comitê do Réla;Orçamento para ações de clima da área de Relacionamento;Comitê do Réla - Orçamento para ações de clima da área de Relacionamento
2023;C0221REEXC;5200208008;30;Auxílio creche - Auxílio creche para 2 colaboradores.;700;0;0;0;0;0;0;700;700;700;700;700;Auxílio creche;Auxílio creche para 2 colaboradores.;Auxílio creche - Auxílio creche para 2 colaboradores.
2023;C0221REQUA;5200208008;30;Auxílio creche - Auxilio creche para 1 colaborador;0;0;0;0;0;0;350;350;350;350;350;350;Auxílio creche;Auxilio creche para 1 colaborador;Auxílio creche - Auxilio creche para 1 colaborador
2023;C0221SPPLT;5200208008;30;Auxilio creche - Auxílio creche pensando em apenas 1 colaboradora;0;0;0;0;0;0;350;350;350;350;350;350;Auxilio creche;Auxílio creche pensando em apenas 1 colaboradora;Auxilio creche - Auxílio creche pensando em apenas 1 colaboradora
2023;C0275RHUVH;5200208008;30;Programa Qualidade de Vida - Megaton e outros fornecedores;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;Programa Qualidade de Vida;Megaton e outros fornecedores;Programa Qualidade de Vida - Megaton e outros fornecedores
2023;C0304REGRJ;5200208008;30;Auxílio Creche - Thiago Silveira - Auxílio Creche - Thiago Silveira;350;350;350;350;350;350;0;0;0;0;0;0;Auxílio Creche - Thiago Silveira;Auxílio Creche - Thiago Silveira;Auxílio Creche - Thiago Silveira - Auxílio Creche - Thiago Silveira
2023;C0304RJCAR;5200208008;30;Auxílio Creche - Priscila Moraes - Auxílio Creche - Priscila Moraes;0;0;350;350;350;350;350;350;0;0;0;0;Auxílio Creche - Priscila Moraes;Auxílio Creche - Priscila Moraes;Auxílio Creche - Priscila Moraes - Auxílio Creche - Priscila Moraes
2023;C0304RJDI1;5200208008;30;Benefício Creche - Colaboradora Cristiane Braga teve filho em nov/22;350;350;350;350;350;350;0;0;0;0;0;0;Benefício Creche;Colaboradora Cristiane Braga teve filho em nov/22;Benefício Creche - Colaboradora Cristiane Braga teve filho em nov/22
2023;C0304RJRHU;5200208008;30;Vacina e cestas de final de ano - Vacina 54,00 por dose 280 pessoas\n150 por kit x 370 unidades;0;0;15120;0;0;0;0;0;0;0;0;55500;Vacina e cestas de final de ano;Vacina 54,00 por dose 280 pessoas\n150 por kit x 370 unidades;Vacina e cestas de final de ano - Vacina 54,00 por dose 280 pessoas\n150 por kit x 370 unidades
